class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
HUBERREGRESSOR,10,8061,807,806,0.3,5.148206911607799,4.094292803970223,6.575682382133994,0.6206327642042732,5.148206911607799,4.094292803970223,6.575682382133994,0.6206327642042732,3,3,0,0.5,0.9431444996012942,0.1881455553283768,1.7514808181263812,0.013475303,3.99172049,1.3523818483759178,7.132714695616055,0.025334416,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.30447609,0,0,0.0
XGBRegressor,5,31101,6221,6220,0.3999999999999999,4.945166537363592,4.501607717041801,5.320687992284199,0.2665818047895004,4.945166537363592,4.501607717041801,5.320687992284199,0.2665818047895004,6,6,0,0.1666666666666666,1.5861162982054349,0.004077948,4.472775489557105,0.6586480874484308,7.6813206459640115,0.9084793742210776,23.51795632,4.123463123847204,0.0,0,0,0,5.2,5,6,0.3999999999999999,5.2,5,6,0.3999999999999999,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1546426136325959,0,0,0.0
XGBRegressor,5,6336,1268,1267,0.4,4.877028874188015,4.022082018927445,5.524861878453039,0.5255232155023936,4.877028874188015,4.022082018927445,5.524861878453039,0.5255232155023936,2,1,1,1.0,0.755875676,0.008556727,1.687894075794609,0.0,1.3091459739125209,1.0101906757006578,1.567440496997753,0.0,1.219700933,1,2,0,0.4,0,1,0.4898979485566356,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.032015105,0,0,0.6730116670092565
LASSO,10,10361,1037,1036,0.3,5.067037005320516,3.7644787644787647,5.8880308880308885,0.6825409789819343,5.067037005320516,3.7644787644787647,5.8880308880308885,0.6825409789819343,2,2,0,0.5,0.069880383,0.023040661,0.098849166,0.000854972,0.5612176681795662,0.4788843441933363,0.6908810010050814,0.000939617,0.0,0,0,0,2.0,2,2,0.0,2.0,2,2,0.0,2.0,2,2,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.4968858799970541,0,0,0.0
XGBRegressor,10,27641,2765,2764,0.3,5.017910463384826,4.413892908827786,5.680173661360347,0.3585729713713448,5.017910463384826,4.413892908827786,5.680173661360347,0.3585729713713448,4,4,0,0.1666666666666666,3.184742218928428,0.000205922,4.639590964388488,0.6405850685245127,15.818199762561369,0.4649419949332092,25.834080368199366,3.3367532540877303,0.0,0,0,0,3.1,1,4,0.8306623862918074,3.1,3,4,0.3,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.012412188,0,0,0.3250829733914482
XGBRegressor,5,17280,3456,3456,0.0,5.028935185185185,4.398148148148148,5.873842592592593,0.5076125523052868,5.028935185185185,4.398148148148148,5.873842592592593,0.5076125523052868,4,4,0,0.1666666666666666,3.258915106876396,0.2294085727571941,4.653196643004022,0.73508071,15.54602698313693,0.8056660674967913,25.71525428398953,3.865755034556306,0.0,0,0,0,3.4,3,4,0.4898979485566356,3.0,3,3,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.014175853,0,0,0.0
LinearSVR,5,10366,2074,2073,0.3999999999999999,4.968174643822559,4.534491075735649,5.692233478051134,0.4261450873104748,4.968174643822559,4.534491075735649,5.692233478051134,0.4261450873104748,6,6,0,0.1666666666666666,0.049918174,2.6776853569130078e-11,0.9269008676566054,0.1356473,1.3826235970455651,0.6280100508754525,1.5014463411581904,0.080245383,0.0,0,0,0,5.2,5,6,0.3999999999999999,5.0,5,5,0.0,6.0,6,6,0.0,0,0,0,0,0,0,0,0,4,4,4,0,0.017367078,98,10,0.0
XGBRegressor,10,27641,2765,2764,0.3,5.046848789525886,4.486251808972503,5.897250361794501,0.4642190521016152,5.046848789525886,4.486251808972503,5.897250361794501,0.4642190521016152,2,1,1,0.1666666666666666,0.6381020874446279,5.481432195759812e-05,2.067506804579463,0.0,1.2686352824087366,0.1456628825225228,3.0819384368308893,0.0,1.0,1,1,0,0.4,0,1,0.4898979485566356,1.2,1,2,0.4,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.068174683,0,0,0.6108643020548935
LinearSVR,5,6911,1383,1382,0.4,5.020975186600157,4.196816208393632,5.716353111432706,0.6350632878945139,5.020975186600157,4.196816208393632,5.716353111432706,0.6350632878945139,3,2,1,0.1666666666666666,0.278275723,0.009436416,0.4835346714273843,0.087940514,1.038894525993909,0.373414012,1.4497638883639232,0.1570831881631338,1.0,1,1,0,1.0,1,1,0.0,2.0,2,2,0.0,3.0,3,3,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.07260266,0,0,0.0
QUANTILEREGRESSOR,20,17280,864,864,0.0,5.005787037037037,3.935185185185185,6.712962962962964,0.6607113686042347,5.005787037037037,3.935185185185185,6.712962962962964,0.6607113686042347,2,2,0,0.1666666666666666,0.2913571025082407,0.001782616,0.8565295257596744,0.165596937,1.1977462757509685,0.5104207090289452,1.5237588641088176,0.164245479,0.05,0,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.063946318,0,0,0.0
