class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
HUBERREGRESSOR,10,38011,3802,3801,0.3,4.964350171699604,4.525124967113917,5.524861878453039,0.3163381599660463,4.964350171699604,4.525124967113917,5.524861878453039,0.3163381599660463,4,4,0,0.1666666666666666,0.1020879039364788,0.002591879,0.3399377240021156,0.055549806,0.9227799347590012,0.1618416722946114,1.2496087056155845,0.1934984458443592,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.2814204044531595,0,0,0.0
XGBRegressor,10,42041,4205,4204,0.3,5.014140883887267,4.519505233111323,5.517241379310345,0.3131623760608986,5.014140883887267,4.519505233111323,5.517241379310345,0.3131623760608986,4,4,0,0.1666666666666666,0.1720578293669277,6.0345303846705154e-05,2.9625857274685274,0.3972215523265662,1.5036118750812206,0.4401763439462014,7.765532461807616,0.8942488640247169,0.0,0,0,0,3.2,3,4,0.3999999999999999,3.1,3,4,0.3,4.0,4,4,0.0,0,0,0,0,0,0,0,0,2,2,2,0,0.018109592,2,2,0.5004024235381879
XGBRegressor,5,20736,4148,4147,0.3999999999999999,5.020258396875295,4.7263081745840365,5.618519411622859,0.3086414593666154,5.020258396875295,4.7263081745840365,5.618519411622859,0.3086414593666154,4,3,1,0.1666666666666666,2.480494844388029,0.2948887877077417,4.609852818593231,0.000356481,12.400281438333074,0.8190820127864624,25.969162822973622,0.007778024,1.0,1,1,0,2.8,1,4,1.469693845669907,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.032950798,0,0,0.6730116670092565
XGBRegressor,10,10361,1037,1036,0.3,5.154011981398673,4.435872709739633,5.8880308880308885,0.3849624641810206,5.154011981398673,4.435872709739633,5.8880308880308885,0.3849624641810206,2,2,0,0.5,1.2130511243818891,0.01265713,4.251278251263006,1.2291334406557926,6.486699076406427,1.1844883278205316,20.202248193844547,5.773614978229221,0.0,0,0,0,2.0,2,2,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.2583709671517786,0,0,0.0
XGBRegressor,5,38016,7604,7603,0.3999999999999999,5.087329519072561,4.879652768643957,5.326844666578983,0.1784275781400423,5.087329519072561,4.879652768643957,5.326844666578983,0.1784275781400423,4,4,0,0.1666666666666666,1.3781441006035997,0.000486127,4.2980466484255295,0.736540694,6.141041697817348,0.5627962632560166,22.086371174623466,3.8614916334559326,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.1475801928599813,0,0,0.0
XGBRegressor,10,20731,2074,2073,0.3,5.248174048390916,4.727448143,5.981669078630005,0.3671788094629926,5.248174048390916,4.727448143,5.981669078630005,0.3671788094629926,4,4,0,0.1666666666666666,1.1249832487372395,2.439295982804881e-05,4.566617080296295,1.1378617580041024,5.782688309955548,0.078433561,24.94841649503961,5.765053029,0.0,0,0,0,3.2,3,4,0.3999999999999999,3.1,3,4,0.3,4.0,4,4,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.195885318,0,0,0.0
HUBERREGRESSOR,10,9211,922,921,0.3,4.993946973604566,3.908794788273615,5.748373101952278,0.4518684912237543,4.993946973604566,3.908794788273615,5.748373101952278,0.4518684912237543,4,4,0,0.5,0.051943811,0.010010246,0.147694645,0.021712378,0.7450240579025216,0.4465201702287151,1.2122850153161568,0.039343232,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.4730603297607735,0,0,0.0
LinearSVR,5,10366,2074,2073,0.3999999999999999,4.939189217477221,4.293294741919923,5.303760848601736,0.3413732269321656,4.939189217477221,4.293294741919923,5.303760848601736,0.3413732269321656,4,4,0,0.1666666666666666,0.2392893019973017,0.022079672,0.539171396,0.086405175,0.7576005139085298,0.2975109802935116,1.2117410518562313,0.1182192428544473,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.2475587474793529,0,0,0.0
LASSO,5,10366,2074,2073,0.3999999999999999,4.919926073439981,4.100337674867342,5.595754944524843,0.5003426643947808,4.919926073439981,4.100337674867342,5.595754944524843,0.5003426643947808,3,2,1,0.5,0.0945365,0.025709698,0.2693243980895756,0.000288489,1.1249462425864931,0.865704093,1.3648884535114902,0.000280808,1.0,1,1,0,2.2,1,3,0.9797958971132712,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.2059469330080016,0,0,0.6730116670092565
LinearSVR,10,10361,1037,1036,0.3,5.067204551293268,3.760848601735777,5.8880308880308885,0.5607740121773426,5.067204551293268,3.760848601735777,5.8880308880308885,0.5607740121773426,2,2,0,0.1666666666666666,0.1701402943067842,0.0,0.9021537489726432,0.1935948945272046,1.2180690783934531,0.4313995011084954,1.6689904230152457,0.1613030557949831,0.0,0,0,0,0.8,0,1,0.4,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.061778244,0,0,0.0
XGBRegressor,20,42041,2103,2102,0.2179449471770336,5.021283762537592,4.234062797335871,5.518553758325404,0.3880231350480893,5.021283762537592,4.234062797335871,5.518553758325404,0.3880231350480893,2,2,0,0.1666666666666666,0.3579987492267919,2.987782622576077e-05,2.7767093307532376,0.5723295145363064,1.4045946161765313,0.06721561,7.022466952265188,0.987896721,0.0,0,0,0,1.25,1,2,0.4330127018922193,1.15,1,2,0.3570714214271425,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.01450965,0,0,0.1985152433458726
HUBERREGRESSOR,15,17280,1152,1152,0.0,4.988425925925926,3.8194444444444446,6.510416666666667,0.8117544326434711,4.988425925925926,3.8194444444444446,6.510416666666667,0.8117544326434711,5,5,0,0.1666666666666666,0.3733751546884225,0.012256975,1.003301458343459,0.001950514,0.8687559854557584,0.019703361,2.743044272151272,0.003701847,0.0,0,0,0,1.1333333333333333,0,5,1.995550606279436,5.0,5,5,0.0,5.0,5,5,0.0,5,5,5,0,3,3,3,0,0,0,0,0,0.1748406043268955,0,0,0.5004024235381879
LASSO,10,14011,1402,1401,0.3,5.067411600232562,4.211277658815132,5.8529621698786585,0.4193844184794612,5.067411600232562,4.211277658815132,5.8529621698786585,0.4193844184794612,1,1,0,0.5,0.2218151682302834,0.000251756,0.8199663402792853,0.0,1.044845917822435,0.3286141759171803,1.3238591817889898,0.0,0.0,0,0,0,0.1,0,1,0.3,0.1,0,1,0.3,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.014198571,0,0,0.5004024235381879
QUANTILEREGRESSOR,10,10361,1037,1036,0.3,4.999478745862545,4.343629343629344,5.598455598455598,0.3993258623612666,4.999478745862545,4.343629343629344,5.598455598455598,0.3993258623612666,3,3,0,0.1666666666666666,0.2396727830855053,0.035950497,0.7034759608579713,0.114877759,0.8335401324692076,0.1250848121554169,1.677997362140056,0.1630471009116335,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.2327193102744092,0,0,0.0
XGBRegressor,15,20731,1383,1382,0.2494438257849294,4.9056822926313215,3.762662807525326,5.861070911722142,0.5109601483038788,4.9056822926313215,3.762662807525326,5.861070911722142,0.5109601483038788,3,3,0,0.1666666666666666,1.4393201963998503,0.039424222,4.8181742714778215,1.2636530127691166,8.257520929967024,1.1784039082422475,29.16213526853494,6.567788822,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.1885721151814956,0,0,0.0
LASSO,5,4606,922,921,0.4000000000000001,5.015320987043697,4.446854663774404,5.428881650380022,0.3800653142241561,5.015320987043697,4.446854663774404,5.428881650380022,0.3800653142241561,7,7,0,0.5,0.014059184,4.9552354459342805e-11,0.414078595,0.060842286,1.4500734984140522,0.91916788,1.5030830799012462,0.042084484,0.0,0,0,0,5.4,4,7,1.0198039027185568,6.4,6,7,0.4898979485566356,7.0,7,7,0.0,0,0,0,0,0,0,0,0,6,6,6,0,0.012584794,131,6,0.0
XGBRegressor,15,42046,2804,2803,0.2494438257849294,5.044471236832895,4.281127363539065,5.779521940777738,0.3720272013360127,5.044471236832895,4.281127363539065,5.779521940777738,0.3720272013360127,1,1,0,0.1666666666666666,0.7043587048590837,0.02159991,2.3199483106836425,0.0,1.100052272906633,0.2015634310421212,4.290135002801236,0.0,0.0,0,0,0,0.4,0,1,0.4898979485566356,0.066666667,0,1,0.2494438257849294,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.015315327,0,0,0.5004024235381879
LASSO,5,11520,2304,2304,0.0,4.887152777777778,4.470486111111112,5.208333333333334,0.2509866717847389,4.887152777777778,4.470486111111112,5.208333333333334,0.2509866717847389,5,5,0,0.5,1.1020821002513947,0.00079723,2.636563766975131,0.3384968787340011,5.160776591393675,0.002576928,11.84941865864209,1.237076051415223,0.0,0,0,0,4.2,4,5,0.3999999999999999,4.0,4,4,0.0,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.244008747,0,0,0.0
XGBRegressor,15,14011,935,934,0.2494438257849294,4.874799131254604,3.854389721627409,6.102783725910064,0.5853487968939929,4.874799131254604,3.854389721627409,6.102783725910064,0.5853487968939929,2,2,0,0.5,0.2150379332093668,4.85885013197004e-06,1.962928679357648,0.4009209787914293,1.1524676404834464,0.1841544040216156,2.527668965529825,0.2861778879824929,0.0,0,0,0,1.2,1,2,0.4,1.1333333333333333,1,2,0.339934634,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.023605735,0,0,0.5004024235381879
HUBERREGRESSOR,5,8061,1613,1612,0.4000000000000001,5.110985648553394,4.528535980148883,5.893300248138958,0.5074664232557258,5.110985648553394,4.528535980148883,5.893300248138958,0.5074664232557258,3,3,0,0.5,0.8074585318750096,0.085153111,1.6535567158523847,0.003541965,3.131086051855724,1.450746392675672,6.270918615838796,0.002799857,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.3234370020819394,0,0,0.0
LinearSVR,20,27641,1383,1382,0.2179449471770337,5.007068465227442,3.979739507959479,6.150506512301012,0.5882211847680202,5.007068465227442,3.979739507959479,6.150506512301012,0.5882211847680202,4,4,0,0.1666666666666666,3.1167890183830016,8.356631158080485e-06,4.813202855947963,0.6325776086375781,15.930746632303672,0.035806801,28.185480457366697,3.5286438656804924,0.0,0,0,0,2.9,1,4,0.7000000000000001,3.15,3,4,0.3570714214271425,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.016036293,0,0,0.3250829733914482
XGBRegressor,10,20731,2074,2073,0.3,5.016602308879235,4.438012542209358,5.8341369334619095,0.4876747610019568,5.016602308879235,4.438012542209358,5.8341369334619095,0.4876747610019568,7,7,0,0.1666666666666666,1.874827167193389,1.1656541439728928e-05,4.640912823026474,0.4151993792494984,9.736726757323698,0.018187107,25.71363209220356,3.538721114258058,0.0,0,0,0,6.2,4,7,0.8717797887081347,6.1,6,7,0.3,7.0,7,7,0.0,3,3,3,0,1,1,1,0,3,3,3,0,0.012121524,2072,2,0.3250829733914482
LinearSVR,20,38001,1901,1900,0.2179449471770337,5.055130263850051,4.052631578947368,6.368421052631579,0.5256518803010064,5.055130263850051,4.052631578947368,6.368421052631579,0.5256518803010064,11,10,1,0.1666666666666666,1.4110808913659618,2.287615911607206e-05,3.685782708349263,0.4561213302843747,8.484037434374406,0.06001391,19.91997863190964,1.6130861698338597,1.0,1,1,0,8.3,4,10,2.410394159,10.0,10,10,0.0,11.0,11,11,0.0,5,5,5,0,3,3,3,0,4,4,4,0,0.024836689,950,949,0.6108643020548935
LASSO,20,41920,2096,2096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.1666666666666666,0.2123254350549882,0.017053293,0.4587290561715532,0.0,0.849381526,0.4777903270373063,1.1040770254445826,0.0,0.0,0,0,0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.8967017533647565,0,0,0.0
LASSO,5,12671,2535,2534,0.3999999999999999,5.043014217684851,4.696132596685083,5.288082083662194,0.2049678060481507,5.043014217684851,4.696132596685083,5.288082083662194,0.2049678060481507,5,4,1,0.5,1.938600881766472,0.01715034,3.041276519,0.2547453245347378,9.744677498274864,0.097087385,17.54892483719897,1.5446665838783893,1.0,1,1,0,4.0,4,4,0.0,4.0,4,4,0.0,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.05059483,0,0,0.0
XGBRegressor,5,13821,2765,2764,0.3999999999999999,5.093726365594324,4.701627486437613,5.499276410998553,0.2857110757526762,5.093726365594324,4.701627486437613,5.499276410998553,0.2857110757526762,4,4,0,0.1666666666666666,1.954464839661926,0.8953003369432969,4.415690475885444,0.002768006,6.313173172922881,0.053022858,22.62102497393688,0.047338345,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,4.0,4,4,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1136696767972899,0,0,0.0
HUBERREGRESSOR,10,10361,1037,1036,0.3,5.038079476362986,3.957528957528957,5.598455598455598,0.4538476633825979,5.038079476362986,3.957528957528957,5.598455598455598,0.4538476633825979,2,2,0,0.1666666666666666,0.1183921553138682,0.0,0.433435109,0.1186001262598399,1.246681409659474,0.0,1.722634061290237,0.2479826741039583,0.0,0,0,0,0.9,0,1,0.3,1.0,1,1,0.0,1.9,1,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.092777319,0,0,0.0
HUBERREGRESSOR,5,8061,1613,1612,0.4000000000000001,4.937365296543746,4.714640198511166,5.334987593052109,0.2242821602931123,4.937365296543746,4.714640198511166,5.334987593052109,0.2242821602931123,4,3,1,0.5,0.1078087432854286,0.037304675,0.2222318610255254,0.000299491,1.0631625195409362,0.7348634339141782,1.272383608744115,0.000642022,1.0,1,1,0,1.0,1,1,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.1855455919804828,0,0,0.0
LASSO,15,13816,922,921,0.2494438257849293,5.0955805056436025,4.017372421281216,6.297502714440825,0.5995640297889542,5.0955805056436025,4.017372421281216,6.297502714440825,0.5995640297889542,2,2,0,0.1666666666666666,0.2558828195191747,0.008676614,0.772234447,0.1504330030541512,1.2123743215098388,0.6262917080563839,1.5306323508439872,0.1169169700732709,0.0,0,0,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.069134827,0,0,0.0
QUANTILEREGRESSOR,15,24181,1613,1612,0.2494438257849294,4.929499101848761,3.970223325062035,5.459057071960298,0.4231909365479182,4.929499101848761,3.970223325062035,5.459057071960298,0.4231909365479182,2,1,1,0.1666666666666666,0.1086194197396967,0.006397241,0.7182425530571221,0.0,0.8510132021957472,0.4976218423633076,1.4248867794732354,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.079908157,0,0,0.0
XGBRegressor,15,17280,1152,1152,0.0,4.849537037037037,3.4722222222222223,6.076388888888888,0.6564143027059831,4.849537037037037,3.4722222222222223,6.076388888888888,0.6564143027059831,4,4,0,0.1666666666666666,3.311792645601696,4.487840271122208e-06,4.781885401004946,0.5727398712639926,17.56924040483551,0.3975724602681869,27.846415514039965,3.1018842669226614,0.0,0,0,0,3.066666666666667,1,4,0.6798692684790378,3.066666666666667,3,4,0.2494438257849294,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.011595881,0,0,0.2449300267946353
HUBERREGRESSOR,5,5760,1152,1152,0.0,5.034722222222222,4.513888888888888,5.295138888888888,0.3056739038482466,5.034722222222222,4.513888888888888,5.295138888888888,0.3056739038482466,3,3,0,0.5,0.050749265,0.001575817,0.1346663982521483,0.024441177,0.7782259015529017,0.5356796212230317,1.2023230165354015,0.020434285,0.0,0,0,0,3.0,3,3,0.0,3.0,3,3,0.0,3.0,3,3,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.5004316734943833,0,0,0.0
XGBRegressor,10,9211,922,921,0.3,5.004804736905326,4.451682953311618,5.748373101952278,0.4832737856976973,5.004804736905326,4.451682953311618,5.748373101952278,0.4832737856976973,4,4,0,0.5,1.3396891697825666,0.000699665,4.669576935092269,0.8897085084508968,4.910808285987782,0.020765028,26.491158918641265,5.7906901814331215,0.0,0,0,0,3.0,3,3,0.0,3.1,3,4,0.3,4.0,4,4,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0.2747280097604652,0,0,0.0
LinearSVR,5,13821,2765,2764,0.3999999999999999,5.093723748635911,4.630969609261939,5.571635311143271,0.3587901318723548,5.093723748635911,4.630969609261939,5.571635311143271,0.3587901318723548,7,5,2,0.1666666666666666,0.1135895736411882,1.4879840187932879e-10,2.029225563398972,0.3464195901715785,1.4342204781140706,0.8155368152090805,2.806915905279828,0.1832646989609345,1.416757117472646,1,2,0,5.4,5,6,0.4898979485566356,6.0,6,6,0.0,7.0,7,7,0.0,0,0,0,0,0,0,0,0,3,3,3,0,0.008755273,8,4,0.0
LASSO,20,24181,1210,1209,0.2179449471770337,5.041137747882616,4.135649297,5.707196029776675,0.5140963122223243,5.041137747882616,4.135649297,5.707196029776675,0.5140963122223243,2,1,1,0.1666666666666666,0.1907093525054848,0.013161339,0.3939653360117966,0.0,1.2376964979007865,1.1854600517499758,1.298946978,0.0,1.0,1,1,0,1.0,1,1,0.0,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.082371088,0,0,0.0
XGBRegressor,15,13816,922,921,0.2494438257849293,4.9725808110427305,3.691639522258415,6.514657980456026,0.7905671106523605,4.9725808110427305,3.691639522258415,6.514657980456026,0.7905671106523605,5,5,0,0.1666666666666666,2.5289049348758605,9.011847525655895e-05,4.954769321340092,0.5549495555012414,13.683809864822964,0.598004155,27.670660959880667,3.2738220466955568,0.0,0,0,0,3.8,1,4,0.7483314773547883,4.2,4,5,0.3999999999999999,4.866666666666666,3,5,0.4988876515698588,3,3,3,0,1,1,1,0,1,1,1,0,0.012688084,3,3,0.2449300267946353
XGBRegressor,10,31101,3111,3110,0.3,5.041621836,4.469453376205788,5.560912889746062,0.3752290405692097,5.041621836,4.469453376205788,5.560912889746062,0.3752290405692097,6,6,0,0.1666666666666666,1.627775022729293,1.1320481263615717e-06,4.482839615956771,0.9107203540532588,8.394865179140773,0.1760330662424456,23.37885785336754,4.858327509428567,0.0,0,0,0,5.0,5,5,0.0,5.2,5,6,0.3999999999999999,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1378831077832286,0,0,0.0
XGBRegressor,20,20721,1037,1036,0.2179449471770337,5.052832830074874,3.957528957528957,6.177606177606178,0.6263993788947396,5.052832830074874,3.957528957528957,6.177606177606178,0.6263993788947396,2,2,0,0.1666666666666666,0.1873038888180405,0.0,1.6401294685367804,0.3039955870463658,1.1911216292777698,0.1211079229335676,1.6709560568030442,0.2132467546320385,0.45,0,9,0,0.55,0,1,0.497493719,1.1,1,2,0.3,1.95,1,2,0.2179449471770337,0,0,0,0,0,0,0,0,0,0,0,0,0.045568898,0,0,0.6881388137135884
XGBRegressor,15,27646,1844,1843,0.2494438257849294,5.067624111,4.123711340206185,5.5344546934346175,0.3644278360961417,5.067624111,4.123711340206185,5.5344546934346175,0.3644278360961417,5,5,0,0.1666666666666666,2.2139910960469686,0.8464149121382014,4.752505825,0.003581129,8.403743240030913,0.037087846,27.09602278904932,0.037865055,0.0,0,0,0,5.0,5,5,0.0,5.0,5,5,0.0,5.0,5,5,0.0,5,5,5,0,3,3,3,0,0,0,0,0,0.1337573651382041,0,0,0.0
HUBERREGRESSOR,20,34560,1728,1728,0.0,5.046296296296296,3.6458333333333335,6.539351851851852,0.5368549140420887,5.046296296296296,3.6458333333333335,6.539351851851852,0.5368549140420887,4,4,0,0.1666666666666666,3.3478397727250866,2.651954533468411e-06,6.069981695834413,0.6401703884475931,22.79289308369741,0.4641684704131346,46.19523642116897,4.182924091322873,0.0,0,0,0,2.95,1,4,0.497493719,3.1,3,4,0.3,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.01585396,0,0,0.1985152433458726
LASSO,15,41931,2796,2795,0.4898979485566357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.1666666666666666,0.2219712232966851,0.00461776,0.3819632596072153,0.0,0.8230279092526479,0.4821515691485767,1.089310224984318,0.0,0.0,0,0,0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.8989630009474193,0,0,0.0
LinearSVR,10,17280,1728,1728,0.0,5.05787037,4.282407407407407,5.671296296296297,0.4254161099418775,5.05787037,4.282407407407407,5.671296296296297,0.4254161099418775,5,5,0,0.1666666666666666,2.849886470400424,0.000655496,4.577649144984365,0.6463118681662811,16.543441730020795,0.8214614668233962,27.536056509916506,3.064454197466951,0.0,0,0,0,3.7,1,4,0.9,4.0,4,4,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.017094681,0,0,0.3250829733914482
XGBRegressor,15,42046,2804,2803,0.2494438257849294,5.0135587693981165,4.316803424901891,5.565465572600785,0.3057870609631885,5.0135587693981165,4.316803424901891,5.565465572600785,0.3057870609631885,1,1,0,0.1666666666666666,0.4297886747900772,1.6595325080552964e-05,2.3369590649255767,0.0,1.2041352370587404,0.1156544603742975,4.452484912485674,0.0,0.0,0,0,0,0.2666666666666666,0,1,0.4422166387140533,0.2,0,1,0.4000000000000001,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.015756147,0,0,0.5004024235381879
XGBRegressor,5,6911,1383,1382,0.4,4.977612166759274,4.630969609261939,5.716353111432706,0.3898781362012983,4.977612166759274,4.630969609261939,5.716353111432706,0.3898781362012983,5,4,1,0.5,1.985760845848804,0.010755791,5.178018817831332,0.9719691085426286,10.104118296206195,0.2366460412448665,34.147131624129095,6.110877968,1.0,1,1,0,2.4,1,4,1.3564659966250538,4.4,4,5,0.4898979485566356,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.066549631,0,0,0.6730116670092565
HUBERREGRESSOR,5,11520,2304,2304,0.0,4.913194444444445,4.600694444444445,5.381944444444445,0.2777777777777778,4.913194444444445,4.600694444444445,5.381944444444445,0.2777777777777778,5,4,1,0.5,0.1372083422989028,0.067536315,0.281381847,0.00067882,0.8350485151599845,0.3958104399183839,1.1542397505124682,0.001068593,1.0,1,1,0,4.2,1,5,1.6000000000000003,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.1683049935661756,0,0,0.5004024235381879
LinearSVR,5,42046,8410,8409,0.3999999999999999,4.932689609,4.602211915804495,5.410869306695208,0.3056812527276257,4.932689609,4.602211915804495,5.410869306695208,0.3056812527276257,4,4,0,0.1666666666666666,2.0308398405431847,0.8014970207997002,2.790123162745966,0.00021354,10.301210475613027,3.973503254263932,13.999735669405618,0.005227218,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,4.0,4,4,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.073220984,0,0,0.0
QUANTILEREGRESSOR,10,18991,1900,1899,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,24.0,2.356125844704157,0.049136711,6.305783001966791,1.181648073889111,16.106808611705908,0.2037109464492119,76.04630276688555,17.031309949986767,0.0,0,0,0,1.4,1,2,0.4898979485566356,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.5385491468365916,0,0,0.0
HUBERREGRESSOR,10,34560,3456,3456,0.0,4.90162037,4.571759259,5.439814814814815,0.2245787952769937,4.90162037,4.571759259,5.439814814814815,0.2245787952769937,5,4,1,0.1666666666666666,0.1770992012704946,0.003346847,0.4632254114161891,0.000348316,0.8118586905814071,0.1148406100038421,1.2517417177421963,0.00072773,1.0,1,1,0,0.9,0,1,0.3,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.071898622,0,0,0.0
HUBERREGRESSOR,15,17280,1152,1152,0.0,4.994212962962963,3.5590277777777777,5.815972222222222,0.6145168496508464,4.994212962962963,3.5590277777777777,5.815972222222222,0.6145168496508464,4,4,0,0.1666666666666666,0.4290393024802272,0.001591102,1.211016969547073,0.1722470369947891,1.3711337216464512,0.1126153101129383,4.058646148,0.3950786499030554,0.0,0,0,0,4.0,4,4,0.0,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.1993960389883103,0,0,0.0
LASSO,20,31101,1556,1555,0.2179449471770337,5.031989023,3.922829581993569,5.980707395498392,0.5471101605170368,5.031989023,3.922829581993569,5.980707395498392,0.5471101605170368,3,2,1,0.1666666666666666,0.1906108311782918,0.003083944,0.5927013452841614,0.093311599,1.146996416496485,0.806323297,1.332271979725079,0.096225347,1.0,1,1,0,1.0,1,1,0.0,2.0,2,2,0.0,3.0,3,3,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.075684133,0,0,0.0
